club_id,status,name,relative_url,is_special
1029,ok,CA Vélez Sarsfield,/ca-velez-sarsfield/startseite/verein/1029,False
102914,ok,Roi-Et PB United,/roi-et-pb-united/startseite/verein/102914,False
102934,ok,Real Cundinamarca U20,/real-cundinamarca-u20/startseite/verein/102934,False
102937,ok,Orsomarso SC U20,/orsomarso-sc-u20/startseite/verein/102937,False
103,ok,1.FC Schweinfurt 05,/1-fc-schweinfurt-05/startseite/verein/103,False
1030,ok,AA Argentinos Juniors,/aa-argentinos-juniors/startseite/verein/1030,False
103004,ok,Lexington SC,/lexington-sc/startseite/verein/103004,False
10301,ok,FC Pyunik Yerevan,/fc-pyunik-yerevan/startseite/verein/10301,False
1031,ok,Luton Town,/luton-town/startseite/verein/1031,False
10319,ok,FK Bezanija,/fk-bezanija/startseite/verein/10319,False
1032,ok,Reading FC,/reading-fc/startseite/verein/1032,False
1033,ok,Valur Reykjavík,/valur-reykjavik/startseite/verein/1033,False
10330,ok,SL Benfica B,/sl-benfica-b/startseite/verein/10330,False
10331,ok,FC Porto B,/fc-porto-b/startseite/verein/10331,False
1034,ok,Grimsby Town,/grimsby-town/startseite/verein/1034,False
1035,ok,Sheffield Wednesday,/sheffield-wednesday/startseite/verein/1035,False
103649,ok,Huntsville City FC,/huntsville-city-fc/startseite/verein/103649,False
103697,ok,AA Maguary,/aa-maguary/startseite/verein/103697,False
1037,ok,Club Universidad de Chile,/club-universidad-de-chile/startseite/verein/1037,False
103722,ok,Rhode Island FC,/rhode-island-fc/startseite/verein/103722,False
10382,ok,SC Langenhagen U19,/sc-langenhagen-u19/startseite/verein/10382,False
103825,ok,Elite Falcons FC,/elite-falcons-fc/startseite/verein/103825,False
1039,ok,Queens Park Rangers,/queens-park-rangers/startseite/verein/1039,False
103964,ok,Amal Al-Aroui ,/amal-al-aroui/startseite/verein/103964,False
10406,ok,St. Mary's College of California,/st-mary-s-college-of-california/startseite/verein/10406,False
1041,ok,Olympique Lyon,/olympique-lyon/startseite/verein/1041,False
10418,ok,KV Oostende U19,/kv-oostende-u19/startseite/verein/10418,False
1042,ok,Crewe Alexandra,/crewe-alexandra/startseite/verein/1042,False
104221,ok,Moreland City,/moreland-city/startseite/verein/104221,False
104223,ok,Almada AC Youth,/almada-ac-youth/startseite/verein/104223,False
104247,ok,Catanduva FC U20,/catanduva-fc-u20/startseite/verein/104247,False
1043,ok,Skonto Riga (- 2016),/skonto-riga-2016/startseite/verein/1043,False
10431,ok,VV St. Truiden U19,/vv-st-truiden-u19/startseite/verein/10431,False
104325,ok,FF Sport Nova Cruz,/ff-sport-nova-cruz/startseite/verein/104325,False
10439,ok,NK TOSK Tesanj,/nk-tosk-tesanj/startseite/verein/10439,False
1044,ok,Djurgårdens IF,/djurgaardens-if/startseite/verein/1044,False
104463,ok,CF Monterrey U17,/cf-monterrey-u17/startseite/verein/104463,False
104466,ok,Club Necaxa U17,/club-necaxa-u17/startseite/verein/104466,False
104498,ok,San Luis FC U17,/san-luis-fc-u17/startseite/verein/104498,False
1045,ok,Notts County,/notts-county/startseite/verein/1045,False
10453,ok,Wigry Suwalki,/wigry-suwalki/startseite/verein/10453,False
104581,ok,Westside Metros FC,/westside-metros-fc/startseite/verein/104581,False
10459,ok,Standard Liège Youth,/standard-liege-youth/startseite/verein/10459,False
104599,ok,Ammo Baba Football School,/ammo-baba-football-school/startseite/verein/104599,False
10462,ok,Duquecaxiense FC,/duquecaxiense-fc/startseite/verein/10462,False
104630,ok,Austin FC II,/austin-fc-ii/startseite/verein/104630,False
104668,ok,MFA Munkach U19,/mfa-munkach-u19/startseite/verein/104668,False
10468,ok,Stal Alchevsk (-2014),/stal-alchevsk-2014/startseite/verein/10468,False
104687,ok,Incheon Mansoobuk Elementary School,/incheon-mansoobuk-elementary-school/startseite/verein/104687,False
1047,ok,Como 1907,/como-1907/startseite/verein/1047,False
10480,ok,Shakhter Karaganda,/shakhter-karaganda/startseite/verein/10480,False
10481,ok,Tobol Kostanay,/tobol-kostanay/startseite/verein/10481,False
10482,ok,Kairat Almaty,/kairat-almaty/startseite/verein/10482,False
10484,ok,Kasimpasa,/kasimpasa/startseite/verein/10484,False
1049,ok,Valencia CF,/valencia-cf/startseite/verein/1049,False
10492,ok,Esporte Clube Juventude,/esporte-clube-juventude/startseite/verein/10492,False
